"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"Finn returned the lost wallet because he wasn't a __________.","thief","0.7900","8.36","8","0.57","1.2500","8","8"
"They finally solved the case after being given a __________.","clue","0.6500","9.79","12","0.56","1.8000",\N,\N
"Jim felt guilty after he committed a __________.","crime","0.7900","10.42","11","0.66","1.3100","34","8"
"The man was in pain because his arm was __________.","broken","0.6200","10.15","1","0.67","2.4700","63","0"
"Gordon was distraught to discover his wallet was __________.","missing","0.4600","10.51","7","0.66","1.7800","33","2"
"The woman was infuriated to find her luggage was __________.","missing","0.3500","10.51","7","0.66","2.1700","33","2"
"France is a country that is famous for __________.","wine","0.3100","9.48","25","0.64","3.3600","72","26"
"The crowd became rowdy after drinking too much sweet __________.","wine","0.3200","9.48","25","0.64","3.0900","72","26"
"With dinner, Josephine enjoyed a glass of __________.","wine","0.9200","9.48","25","0.64","0.5400","72","26"
"The woman was angry when she spilt her glass of __________.","wine","0.5700","9.48","25","0.64","2.1500","72","26"
"Robert reached into the cabinet for a bottle of __________.","wine","0.3200","9.48","25","0.64","3.5600","72","26"
"The farmers were drunk off the sweet homemade __________.","wine","0.3500","9.48","25","0.64","2.9500","72","26"
"Napa Valley in California is known for making __________.","wine","0.9400","9.48","25","0.64","0.4800","72","26"
"Betty always enjoyed drinking a glass of __________.","wine","0.5100","9.48","25","0.64","2.4300","72","26"
"The festivities ended after one guest drank too much __________.","wine","0.3500","9.48","25","0.64","3.2000","72","26"
"After each day the woman enjoyed her glass of __________.","wine","0.9000","9.48","25","0.64","0.8000","72","26"
"The two young students met and soon fell in __________.","love","1.0000","12.02","9","0.67","0.0000","232","10"
"When she was only twenty years old she found __________.","love","0.4100","12.02","9","0.67","3.3600","232","10"
"The woman said she had finally found __________.","love","0.3600","12.02","9","0.67","3.2100","232","10"
"Carol appreciated her boyfriend's grand gestures of __________.","love","0.5200","12.02","9","0.67","2.7100","232","10"
"Pam worried that she'd never find a boy to __________.","love","0.4500","12.02","9","0.67","2.1500","232","10"
"Looking at his wife, Matt felt intense feelings of __________.","love","0.6000","12.02","9","0.67","2.7500","232","10"
"The farmer tied his wheat together in an orderly __________.","fashion","0.6100","9.50","5","0.66","2.2900","69","3"
"Rob said a lot of criminals here sell __________.","drugs","0.5800","10.32","4","0.63","2.8500",\N,\N
"The police arrested the local gang for selling __________.","drugs","0.7600","10.32","4","0.63","1.5900",\N,\N
"While chewing on the ice, Sean felt his tooth __________.","crack","0.4200","9.16","16","0.58","2.6600","21","14"
"That tall player was benched after his last __________.","foul","0.3600","8.31","16","0.56","3.4300","5","14"
"The boxer knocked out his opponent with a sudden __________.","punch","0.4800","9.16","7","0.58","2.2000","5","7"
"The boxer fell to the ground after one __________.","punch","0.7000","9.16","7","0.58","1.3600","5","7"
"She had arranged all her dolls in a neat __________.","row","0.6700","9.55","30","0.64","1.7200",\N,\N
"The complicated dish required several hours to __________.","prepare","0.5700","9.31","0","0.63","2.1900","35","0"
"Wayne lost his keys, but didn't know where to __________.","look","0.9300","12.44","18","0.68","0.5000","399","17"
"Kyle carefully scooped the honey out of the __________.","jar","0.5000","7.99","17","0.51","1.8700","16","14"
"When the opposing team entered, the fans started to __________.","boo","0.7300","7.34","40","0.46","1.5800","1","24"
"When he fled the stage the crowd began to __________.","boo","0.5300","7.34","40","0.46","2.2700","1","24"
"When the athlete played poorly, the fans would __________.","boo","0.8300","7.34","40","0.46","1.1400","1","24"
"At the championship game, the rival fans started to __________.","boo","0.4600","7.34","40","0.46","2.5100","1","24"
"His worst fear was that the spectators would __________.","boo","0.3600","7.34","40","0.46","2.9400","1","24"
"From deep within the jungle they heard a __________.","roar","0.4900","7.32","29","0.45","2.5700","13","28"
"The huge monster thundered away with a __________.","roar","0.4100","7.32","29","0.45","3.7400","13","28"
"Owen took a nap because his day had been __________.","long","0.4300","12.52","12","0.70","3.1300","755","11"
"Steve didn't realize the shortcut would be so __________.","long","0.3900","12.52","12","0.70","3.7200","755","11"
"Molly thought the table surface was too __________.","rough","0.4400","9.23","19","0.63","3.1700","41","17"
"The avocado wasn't ready as it was still too __________.","hard","0.4300","12.08","21","0.68","3.0600","202","16"
"The employee quit after claiming the job was too __________.","hard","0.5300","12.08","21","0.68","2.5200","202","16"
"Despite her training, the obstacle course was __________.","difficult","0.4900","10.87","0","0.68","1.9400","161","0"
"Being a father and a businessman made his role __________.","difficult","0.3100","10.87","0","0.68","3.3400","161","0"
"The driver was concerned about the heavy __________.","load","0.3600","10.61","33","0.62","2.5900","45","24"
"Everyone ran from the man like he was a __________.","monster","0.3100","9.66","1","0.62","3.8500","6","3"
"Ultrasounds allow us to see babies still in the __________.","womb","0.9500","7.82","9","0.43","0.3800","1","7"
"After nine months, the baby exited the __________.","womb","0.8700","7.82","9","0.43","1.0200","1","7"
"Adam watched in amazement as the fish moved its __________.","fins","0.3400","7.41","18","0.57","2.8700",\N,\N
"The woman said she thought Joe loved her too __________.","much","0.9600","13.09","16","0.70","0.2400","937","14"
"The fish did not breathe properly due to a damaged __________.","gill","0.8700","7.47","26","0.58","0.7800","2","24"
"The potatoes were seasoned with flakes of rosemary and __________.","thyme","0.3500","5.92","23","0.34","3.1800","1599","19"
"Mona replaced the hardwood floor in her kitchen with __________.","tile","0.7400","7.19","31","0.56","1.5600","16","26"
"The kitchen floor had a beautiful type of __________.","tile","0.5200","7.19","31","0.56","2.7500","16","26"
"The accident left a huge scratch across the car's __________.","hood","0.3500","8.93","17","0.61","2.7000","7","13"
"Experts could not give Amy the answers she __________.","wanted","0.5800","11.43","4","0.68","1.8900",\N,\N
"The newest game console was something Mark __________.","wanted","0.7600","11.43","4","0.68","1.6100",\N,\N
"Respect, riches, and fame were what the knight __________.","wanted","0.4100","11.43","4","0.68","2.4500",\N,\N
"They didn't agree with the concepts the school __________.","taught","0.4800","9.83","20","0.65","3.4500","66","19"
"While testing, Connie forgot everything she had been __________.","taught","0.5700","9.83","20","0.65","1.6600","66","19"
"The retired coach was visited by students he had __________.","taught","0.3700","9.83","20","0.65","2.3700","66","19"
"Dustin's score was much lower than what he had __________.","expected","0.3300","10.46","1","0.67","2.7300",\N,\N
"Albert brought the handmade basket his grandmother __________.","made","0.6600","12.51","30","0.70","2.0500","1156","21"
"The woman loved to wear the scarf her mother __________.","made","0.5000","12.51","30","0.70","2.2900","1156","21"
"Fran finished the outfit with a scarf she herself __________.","made","0.5300","12.51","30","0.70","1.8600","1156","21"
"The girl wore the handmade sweater that her grandma __________.","made","0.5100","12.51","30","0.70","1.2600","1156","21"
"Rachel liked to gift others with handmade hats she __________.","made","0.5700","12.51","30","0.70","2.1900","1156","21"
"The blanket looked like something a child had __________.","made","0.4400","12.51","30","0.70","3.0200","1156","21"
"In class, Paula took out her notebook and __________.","wrote","0.4200","13.84","34","0.68","2.5100",\N,\N
"They found it difficult to remember what had been __________.","said","0.5400","12.77","23","0.69","2.5100","1961","17"
"The children denied eating the cookies even though they __________.","did","0.6700","12.86","21","0.70","1.8800","1044","20"
"Even though Grace didn't have to pay, she __________.","did","0.5600","12.86","21","0.70","2.6800","1044","20"
"The driver was unsure what pushing that button __________.","did","0.7000","12.86","21","0.70","1.8300","1044","20"
"From her beach trip the mother brought back a __________.","shell","0.5900","10.52","21","0.64","2.1500","22","18"
"The ice cream cone had a hard chocolate __________.","shell","0.4600","10.52","21","0.64","2.8100","22","18"
"After kindergarten Dixon came out of his __________.","shell","0.6900","10.52","21","0.64","1.9900","22","18"
"Glenda went to the beach and found a beautiful sea __________.","shell","0.6900","10.52","21","0.64","2.0500","22","18"
"Jonah went to the beach and found a big __________.","shell","0.5400","10.52","21","0.64","2.7900","22","18"
"After the accident, Holly just didn't feel __________.","right","0.5600","12.87","35","0.69","2.0000","727","28"
"She broke up with him because it didn't feel __________.","right","0.9400","12.87","35","0.69","0.4800","727","28"
"Kara couldn't believe that her guess was __________.","right","0.4300","12.87","35","0.69","1.8800","727","28"
"Jared was so sure that he was in the __________.","right","0.4000","12.87","35","0.69","3.8100","727","28"
"Matt stopped using the bottle after losing the __________.","cap","0.3400","9.54","29","0.62","3.1900","27","28"
"Karen lost lots of money after losing a foolish __________.","bet","0.9700","10.31","35","0.58","0.2400","20","27"
"Michael was sure of who would win so he __________.","bet","0.5300","10.31","35","0.58","2.7600","20","27"
"He was down twenty dollars after losing the __________.","bet","0.9100","10.31","35","0.58","0.6500","20","27"
"Juice spilled when the baby knocked over the __________.","cup","0.5400","10.23","15","0.61","1.8100","45","15"
"Isaac ran to the water cooler and filled his __________.","cup","0.3600","10.23","15","0.61","2.4800","45","15"
"They broke into the store and began to __________.","steal","0.4200","9.33","10","0.59","3.0300","50","9"
"The rowdy gang broke into the closed store to __________.","steal","0.5100","9.33","10","0.59","2.2300","50","9"
"The criminal was arrested because he used to __________.","steal","0.7200","9.33","10","0.59","2.1200","50","9"
"The ring is unguarded so it'll be easy to __________.","steal","0.7800","9.33","10","0.59","1.5000","50","9"
"The jewelry in the unlocked case was easy to __________.","steal","0.6800","9.33","10","0.59","2.0900","50","9"
"The necklaces were what the thief intended to __________.","steal","0.8300","9.33","10","0.59","0.9800","50","9"
"The forgotten wallet was an easy target to __________.","steal","0.6700","9.33","10","0.59","2.2700","50","9"
"In the jewelry store, the burglar saw many things to __________.","steal","0.8500","9.33","10","0.59","0.6600","50","9"
"Her grandfather was a criminal who would __________.","steal","0.4800","9.33","10","0.59","3.1200","50","9"
"The man suspected of burglary denied he would __________.","steal","0.4500","9.33","10","0.59","3.5100","50","9"
"The boys already knew it was wrong to __________.","steal","0.3900","9.33","10","0.59","2.4900","50","9"
"At night, the criminals would vandalize and __________.","steal","0.4500","9.33","10","0.59","2.7400","50","9"
"While in Paris, Claire wanted to get lost and __________.","explore","0.4400","9.24","0","0.61","3.0700","12","1"
"When the girl went missing, the town started to __________.","search","0.6700","11.27","11","0.67","1.7100","66","9"
"Lucy hid Liam's presents so he had to carefully __________.","search","0.4600","11.27","11","0.67","2.4300","66","9"
"When they lost their dog their neighbors helped to __________.","search","0.5900","11.27","11","0.67","1.8500","66","9"
"The house was condemned after the police did a __________.","search","0.7500","11.27","11","0.67","1.5100","66","9"
"The officer obtained a warrant for a house __________.","search","0.7500","11.27","11","0.67","1.3200","66","9"
"A crowd formed at the beach, curious about the __________.","whale","0.4600","7.73","5","0.57","3.2000","1","4"
"Everyone on the cruise gasped and pointed out the massive __________.","whale","0.4900","7.73","5","0.57","2.5600","1","4"
"Elle let out her frustration in a big __________.","sigh","0.4700","9.05","35","0.32","2.0800","11","24"
"When the puppies get hungry they start to __________.","whine","0.4000","8.23","8","0.24","2.6500","4","5"
"The dog was lonely without companions and started to __________.","whine","0.3900","8.23","8","0.24","2.7400","4","5"
"For Father's Day, the children got their father a __________.","tie","0.4400","9.61","34","0.61","2.6100",\N,\N
"No one expected the game to end with a __________.","tie","0.5800","9.61","34","0.61","2.5600",\N,\N
"The businessman made sure his shirt matched his __________.","tie","0.4700","9.61","34","0.61","1.6300",\N,\N
"The professor always wore a suit and a crazy __________.","tie","0.7000","9.61","34","0.61","1.2900",\N,\N
"Mitch didn't think he looked formal enough without a __________.","tie","0.7000","9.61","34","0.61","1.7000",\N,\N
"The woman applied concealer with a gentle __________.","touch","0.3500","10.46","12","0.64","2.7400","87","11"
"Alice tested the cake's temperature with a gentle __________.","touch","0.3900","10.46","12","0.64","2.8800","87","11"
"The ice was too cold to even __________.","touch","0.4700","10.46","12","0.64","2.9900","87","11"
"Nancy applied ointment to the cut with a gentle __________.","touch","0.4000","10.46","12","0.64","3.1600","87","11"
"The tailor fastened the pant's edge with a __________.","pin","0.5700","10.12","33","0.59","2.4900","16","28"
"Julia fastened the scarf around her neck with a __________.","pin","0.3600","10.12","33","0.59","2.9400","16","28"
"Kristen secured the two fabrics with a small __________.","pin","0.5200","10.12","33","0.59","2.2900","16","28"
"As he left the insulted man made a __________.","gesture","0.4000","7.58","1","0.56","3.6700","32","1"
"He told his son it wasn't a job for __________.","him","0.4400","12.82","22","0.69","3.1800","2628","19"
"Matthew started lifting everyday to impress the __________.","girls","0.5500","10.19","6","0.66","1.9500",\N,\N
"On the back porch, Karen hung a clanging __________.","bell","0.3500","10.12","29","0.67","2.5300","19","22"
"The end of the day was signaled by the __________.","bell","0.3500","10.12","29","0.67","2.8300","19","22"
"The competition started when they heard the __________.","bell","0.3500","10.12","29","0.67","3.3000","19","22"
"Worship began after the monk sounded the __________.","bell","0.5100","10.12","29","0.67","1.9500","19","22"
"The world would be a more peaceful place without __________.","war","0.4100","11.60","31","0.68","3.7600","529","20"
"One may experience trauma after returning from __________.","war","0.8900","11.60","31","0.68","0.8600","529","20"
"The politicians were trying to avoid a full out __________.","war","0.4700","11.60","31","0.68","3.2600","529","20"
"The feud between the countries could turn into a __________.","war","0.9700","11.60","31","0.68","0.2400","529","20"
"The pitbull was so strong that he snapped the __________.","leash","0.3100","7.60","17","0.32","2.9400","3","15"
"The boss kept his employees on a short __________.","leash","0.9300","7.60","17","0.32","0.5400","3","15"
"The rambunctious dog pulled and tugged against the __________.","leash","0.4900","7.60","17","0.32","2.6700","3","15"
"After Dylan injured his knee, it would sometimes __________.","hurt","0.3300","10.24","21","0.61","2.8700","37","21"
"Alexis was embarrassed by her child's behavior in __________.","school","0.3600","11.70","9","0.67","2.4600","492","7"
"Little Gracie said the most boring place ever is __________.","school","0.4700","11.70","9","0.67","2.4100","492","7"
"He was a sweet boy until he entered that __________.","school","0.4000","11.70","9","0.67","3.2000","492","7"
"The sugar content in Ivy's cake was too __________.","high","0.6300","12.13","33","0.69","1.8900",\N,\N
"The newborn chickens spent the day following the __________.","hen","0.4800","7.17","21","0.47","2.3300","22","20"
"The farm animals were transported in a __________.","truck","0.4900","9.23","6","0.63","2.4900","57","5"
"The scared girl ran upstairs to her bedroom and __________.","hid","0.6100","7.38","27","0.56","1.3600","6","23"
"During the thunderstorm, the dog entered the closet and __________.","hid","0.5000","7.38","27","0.56","2.8800","6","23"
"When Jim heard his mom calling he ran and __________.","hid","0.6600","7.38","27","0.56","2.0600","6","23"
"There was finally peace, but then the baby __________.","cried","0.6700","8.29","13","0.50","1.9700",\N,\N
"The man read a book while his wife __________.","slept","0.3500","8.06","6","0.55","3.1700","27","1"
"Tom cried out when Tory poked him in the __________.","eye","0.3200","10.62","7","0.66","2.6000",\N,\N
"The snake wasn't as menacing with only one __________.","eye","0.4400","10.62","7","0.66","1.6500",\N,\N
"The grandfather's estate was divided among his __________.","heirs","0.3200","6.67","11","0.56","2.6100",\N,\N
"Last night, during the thunderstorm, the sleeping man __________.","awoke","0.5300","6.98","1","0.40","2.2300",\N,\N
"She was confused because it was dark when she __________.","awoke","0.3400","6.98","1","0.40","2.3100",\N,\N
"The bear was peacefully sleeping until it __________.","awoke","0.7400","6.98","1","0.40","1.8200",\N,\N
"The coach was impressed by how fast the player __________.","ran","0.7600","10.34","28","0.67","1.5600","134","23"
"The little boy got scared, turned around, and __________.","ran","0.7900","10.34","28","0.67","1.3400","134","23"
"The lightning struck and the whole building __________.","shook","0.7000","8.35","18","0.48","2.1300","57","15"
"During the earthquake, everything in the house __________.","shook","0.8000","8.35","18","0.48","1.3200","57","15"
"During the earthquake the entire building __________.","shook","0.8200","8.35","18","0.48","1.0900","57","15"
"While alone on an island, James struggled to stay __________.","alive","0.3900","9.90","3","0.65","3.0000","57","4"
"At work Karen listens to music to stay __________.","awake","0.4000","8.16","3","0.52","2.8700","20","2"
"At halftime, the team received a speech from the __________.","coach","0.8500","9.08","13","0.63","1.0000","24","14"
"Mr. Smith told the athlete to speak to the __________.","coach","0.4300","9.08","13","0.63","3.0000","24","14"
"The swim team's performance improved after hiring a new __________.","coach","0.9300","9.08","13","0.63","0.4900","24","14"
"After winning a gold medal, Tara thanked her __________.","coach","0.5000","9.08","13","0.63","2.7600","24","14"
"The athlete often got into fights with his __________.","coach","0.3800","9.08","13","0.63","2.9500","24","14"
"The bed was comfortable but it was too __________.","soft","0.4000","10.01","7","0.64","3.3800","61","3"
"Caroline was surprised that her skin felt so __________.","soft","0.5800","10.01","7","0.64","2.2900","61","3"
"The book shelf was two feet long and three feet __________.","wide","0.7400","11.06","32","0.68","1.1300","125","23"
"Eva had a lovely figure because her hips were __________.","wide","0.3100","11.06","32","0.68","3.5600","125","23"
"An ambitious man, Garrett started his own consulting __________.","firm","0.7200","10.45","12","0.66","1.2600","109","11"
"The little girl enjoyed dancing to the __________.","music","0.6900","11.81","3","0.68","1.6700","216","0"
"Some students claim they cannot study without any __________.","music","0.6700","11.81","3","0.68","2.0900","216","0"
"The guests shouted to hear each other over the __________.","music","0.3600","11.81","3","0.68","2.8200","216","0"
"Alexandra couldn't help but dance to the __________.","music","0.5800","11.81","3","0.68","1.7900","216","0"
"The dad was annoyed his kids were making __________.","noises","0.7800","7.97","2","0.52","1.4800",\N,\N
"For the girl's birthday, Russell didn't know what to __________.","buy","0.3900","11.78","33","0.64","2.5000","5377","23"
"Blue is the only color the child will __________.","wear","0.5700","10.35","30","0.63","2.5900",\N,\N
"Each morning, Sandra spontaneously decides what to __________.","wear","0.5200","10.35","30","0.63","1.6300",\N,\N
"Marie pulled out the clothes she wanted to __________.","wear","0.7600","10.35","30","0.63","1.5100",\N,\N
"Before the gala, Katie couldn't decide what to __________.","wear","0.9600","10.35","30","0.63","0.2700",\N,\N
"Sweaters and scarves were her favorite things to __________.","wear","0.6100","10.35","30","0.63","1.7900",\N,\N
"The Olympic runner trained his hardest and placed __________.","first","0.6800","13.16","11","0.70","1.3700","1360","8"
"Bailey easily finished the race and placed as __________.","first","0.4900","13.16","11","0.70","2.3800","1360","8"
"The Olympic athlete got a medal after placing __________.","first","0.6200","13.16","11","0.70","1.4300","1360","8"
"The personal trainer took a job at the local __________.","gym","0.9000","8.17","15","0.57","0.7500","38","13"
"The best friends enjoyed attending yoga class at the __________.","gym","0.7100","8.17","15","0.57","1.8600","38","13"
"To blow off steam Adam usually goes to the __________.","gym","0.7000","8.17","15","0.57","1.5800","38","13"
"Every weekend, Sue's parents made her go to __________.","church","0.7700","10.80","6","0.66","1.5700","348","8"
"Ken's devout grandmother chided him for skipping __________.","church","0.5300","10.80","6","0.66","1.7400","348","8"
"Every weekend, Michelle and her family attended __________.","church","0.8500","10.80","6","0.66","0.8600","348","8"
"Clarence's marriage ceremony was at a beautiful __________.","church","0.3600","10.80","6","0.66","3.7800","348","8"
"The range of options on the menu was very __________.","limited","0.4900","11.06","0","0.69","3.0500","106","0"
"When nervous, Julie would sometimes bite her __________.","nails","0.5100","8.38","23","0.55","1.5100",\N,\N
"Opening the heavy door required a strong __________.","arm","0.3500","9.93","4","0.65","3.0400","94","3"
"Sarah's eye stopped tearing up after she removed the __________.","contact","0.4200","11.86","0","0.67","3.3400","63","0"
"To tend to the wound he applied a gauze __________.","bandage","0.5100","5.80","2","0.33","2.6800","4","1"
"The poor dog lost its hair except for one __________.","patch","0.3400","10.14","22","0.59","2.9300","13","21"
"The mother covered the small hole with a __________.","patch","0.3700","10.14","22","0.59","3.7800","13","21"
"Before descending the canyon we hiked the __________.","trail","0.4100","9.31","11","0.63","2.8000","31","10"
"The tourists enjoyed looking at the scenic __________.","view","0.3900","11.23","10","0.68","3.7900","186","5"
"While in space, the astronaut was impressed by the __________.","view","0.3900","11.23","10","0.68","3.1700","186","5"
"Casey didn't go to the movie theater __________.","alone","0.4500","10.84","6","0.67","3.1700","195","5"
"The determined student was not discouraged by his bad __________.","grades","0.7600","8.34","5","0.60","1.6900",\N,\N
"The boy's mother said the punishment was for his __________.","behavior","0.3700","10.31","0","0.65","3.7500","96","0"
"The tennis player won the match with a high __________.","score","0.6200","10.06","8","0.64","2.0700","66","10"
"Since Rebecca was cold, she began to __________.","shiver","0.8500","6.54","6","0.30","1.1300","4","3"
"Someone that is far too cold might begin to __________.","shiver","0.7900","6.54","6","0.30","1.2300","4","3"
"Ann felt overwhelmed by feelings of distress she couldn't __________.","shake","0.3300","8.57","24","0.56","3.8400","17","22"
"Before he left the dad gave his son a __________.","hug","0.3900","8.24","21","0.44","3.3700","3","21"
"Emily gave her somber friend a comforting __________.","hug","0.8800","8.24","21","0.44","0.9800","3","21"
"As a reward, Tom gave his dog an affectionate __________.","hug","0.5200","8.24","21","0.44","1.9400","3","21"
"Keith preferred greeting with a handshake instead of a __________.","hug","0.7900","8.24","21","0.44","1.2400","3","21"
"The girl said she was sad and needed a __________.","hug","0.6200","8.24","21","0.44","2.2500","3","21"
"Ben's mother ran to him and gave him a __________.","hug","0.8300","8.24","21","0.44","1.0400","3","21"
"Don didn't tell Carmen secrets because she liked to __________.","gossip","0.4900","7.51","0","0.56","2.5000","13","0"
"After church the elderly women love to __________.","gossip","0.4500","7.51","0","0.56","2.9700","13","0"
"Every weekend, the chatty ladies will gather and __________.","gossip","0.5300","7.51","0","0.56","2.2500","13","0"
"The new widow was having difficulty learning to __________.","cope","0.5600","8.24","23","0.59","2.8100","21","23"
"All the old cow ever did was chew its __________.","cud","0.6400","6.84","18","0.23","1.9600","1","16"
"Titus was familiar with the sound of cows chewing __________.","cud","0.4700","6.84","18","0.23","1.7100","1","16"
"The cow was noisy as it chewed its own __________.","cud","0.5500","6.84","18","0.23","2.4100","1","16"
"The hungry horses were happy when the farmer brought __________.","hay","0.4400","9.46","25","0.58","2.5700","19","22"
"Steven went to market and purchased ground __________.","beef","0.7100","8.57","19","0.56","1.8100","32","13"
"The meat was delicious because it was high-quality __________.","beef","0.5400","8.57","19","0.56","2.8800","32","13"
"In the wintertime, Pam's mother carves a juicy __________.","turkey","0.4400","9.53","7","0.64","2.6600","9","1"
"The designer couldn't decide which picture to __________.","use","0.3300","13.43","19","0.69","3.3600","589","9"
"The home designer carefully chose which decor to __________.","use","0.6900","13.43","19","0.69","2.2200","589","9"
"There were so many colors it was hard to __________.","choose","0.3900","10.81","17","0.65","3.2200","50","7"
"If Phil decides to cook dinner, then cook he __________.","will","0.6100","14.35","30","0.70","1.9700","2244","28"
"The mother had included each child in her __________.","will","0.7700","14.35","30","0.70","1.5200","2244","28"
"The man quietly cried as he read his father's __________.","will","0.4400","14.35","30","0.70","2.5600","2244","28"
"The lawyer helped the elderly man write a __________.","will","0.7200","14.35","30","0.70","1.6700","2244","28"
"Although he ordered a whole rack, Cooper ate one __________.","rib","0.6800","7.09","19","0.48","1.9700","1","18"
"When the famous climber fell, she cracked one __________.","rib","0.7300","7.09","19","0.48","1.6900","1","18"
"Tom's fall resulted in a broken arm and cracked __________.","rib","0.7800","7.09","19","0.48","1.5500","1","18"
"Not really knowing the answer, Susan went out on a __________.","limb","0.8700","7.66","21","0.55","0.9400","5","17"
"Due to injuries, many war veterans had lost a __________.","limb","0.5700","7.66","21","0.55","1.8800","5","17"
"The little girl was excited to lose her first __________.","tooth","0.9900","8.05","11","0.57","0.0800","20","10"
"After his mouth was hit, Neil had a broken __________.","tooth","0.6800","8.05","11","0.57","1.1400","20","10"
"Under her pillow the little girl placed her __________.","tooth","0.9300","8.05","11","0.57","0.5200","20","10"
"During pottery class, the students learned to make a __________.","vase","0.4400","6.29","20","0.46","2.1700","4","15"
"John was scared when he accidentally broke the __________.","vase","0.3600","6.29","20","0.46","3.6700","4","15"
"In the pottery class, Maddie made a new __________.","vase","0.4100","6.29","20","0.46","2.6000","4","15"
"The energetic dog refused to wear the restraining __________.","collar","0.4800","8.33","14","0.56","2.1900",\N,\N
"After his leg injury, Terrance had a distinct, slow __________.","limp","0.3200","7.38","7","0.43","2.7200","12","6"
"Lindsay bought her new sweater because of the unique __________.","pattern","0.3500","9.88","2","0.65","2.5700","113","1"
"Dave was heartbroken to see that his goldfish was __________.","dead","0.9200","11.20","23","0.67","0.6000","174","22"
"She was sad to see that the parrot was __________.","dead","0.5600","11.20","23","0.67","2.5500","174","22"
"Descending the steps, the old man clutched the __________.","railing","0.7200","6.55","22","0.40","1.9000","3","3"
"The elderly man was annoyed when he dropped his __________.","cane","0.4100","8.60","39","0.57","3.4700","14","30"
"He likes eating those chips that come in a __________.","bag","0.5500","9.71","27","0.60","1.7900","42","26"
"Barbara took the snack out of her __________.","bag","0.4600","9.71","27","0.60","2.4200","42","26"
"To hold their items they needed a large __________.","bag","0.5800","9.71","27","0.60","2.3900","42","26"
"When travelling, tourists like to carry items in a __________.","bag","0.4800","9.71","27","0.60","2.3300","42","26"
"Many people will carry important items in a __________.","bag","0.3700","9.71","27","0.60","3.0100","42","26"
"Everyone who knew him said he had a big __________.","heart","0.4900","10.73","15","0.68","2.5900",\N,\N
"Jay had surgery to repair a hole in his __________.","heart","0.5500","10.73","15","0.68","2.8900",\N,\N
"At the center of her valentine was a pink __________.","heart","0.8500","10.73","15","0.68","0.8200",\N,\N
"The elderly man wheezed and clutched near his __________.","heart","0.4500","10.73","15","0.68","2.0400",\N,\N
"Charles worried when he felt a pain near his __________.","heart","0.4800","10.73","15","0.68","3.4800",\N,\N
"He used his skateboard to grind along the __________.","rails","0.3800","7.54","28","0.57","3.1000",\N,\N
"The baseball hit the batter's chest and broke his __________.","ribs","0.7000","7.52","9","0.55","1.5900",\N,\N
"Instead of a purebred dog, John chose a __________.","mutt","0.8900","6.09","29","0.35","0.9300","1","26"
"The elderly woman raised a purebred puppy, not a __________.","mutt","0.7900","6.09","29","0.35","1.3500","1","26"
"The dog was adorable even though he was a __________.","mutt","0.5800","6.09","29","0.35","2.8400","1","26"
"The family's large sailboat has a huge __________.","sail","0.4200","8.18","40","0.59","3.0600","56","27"
"During the sailing regatta, Lilly found holes in the __________.","sail","0.5000","8.18","40","0.59","1.8100","56","27"
"The boat sailed faster after tightly pulling in the __________.","sail","0.5000","8.18","40","0.59","2.5600","56","27"
"The best way to travel at sea is to __________.","sail","0.4300","8.18","40","0.59","2.7900","56","27"
"To navigate, the treasure hunter used his __________.","compass","0.5600","7.55","1","0.56","1.4100","13","2"
"To prevent drifting, Mark secured the boat with the __________.","anchor","0.4900","7.93","2","0.61","1.3000","15","2"
"When guests visit, the host serves drinks in crystal __________.","glasses","0.6800","9.05","2","0.57","1.7500",\N,\N
"The couple realized they needed new crystal __________.","glasses","0.3600","9.05","2","0.57","3.4500",\N,\N
"He tried to read but couldn't do it without __________.","glasses","0.6600","9.05","2","0.57","1.9900",\N,\N
"During the battle all of the sailors fled the __________.","ship","0.3700","10.85","20","0.66","3.1700","83","19"
"Sherry always drank hot tea out of her favorite __________.","mug","0.8000","7.40","21","0.36","0.8200","1","19"
"She brewed his coffee and served it in a __________.","mug","0.6300","7.40","21","0.36","1.5100","1","19"
"Every morning, Jeff poured his coffee into a __________.","mug","0.6900","7.40","21","0.36","1.3500","1","19"
"When sailing one must be mindful of the __________.","wind","0.6700","10.07","14","0.65","2.0000","63","8"
"The spy agency tried to locate agents who had gone __________.","rogue","0.4500","8.64","19","0.57","2.2300","1","15"
"The soldier was outstanding until he went __________.","awol","0.4800",\N,\N,\N,"2.8800","1","0"
"The soldier broke his orders and decided to go __________.","awol","0.3200",\N,\N,\N,"3.1700","1","0"
"When spring arrived, Tom uncovered the chairs on the __________.","patio","0.4200","6.55","2","0.44","2.0700","2","0"
"Before you take a bath you should clean the __________.","tub","0.8600","7.86","16","0.45","1.0400","13","16"
"The baby played with his rubber duck in the __________.","tub","0.4600","7.86","16","0.45","1.7800","13","16"
"In the bathroom Aubrey slipped and fell in the __________.","tub","0.6600","7.86","16","0.45","1.9500","13","16"
"The cruise ship had a water slide on the __________.","deck","0.8000","10.27","21","0.61","1.3000","23","19"
"Mitch's favorite thing to do after a run is __________.","shower","0.4600","8.84","14","0.56","2.8100","15","6"
"Since he was covered in dirt, Frank decided to __________.","shower","0.4500","8.84","14","0.56","2.2100","15","6"
